AceleradorX,AceleradorY,AceleradorZ,Modulo
-2.5594177,12.773651,2.0023346,13.18052
-0.52864075,8.788727,1.9831696,9.025195
-1.3907623,9.401794,0.23977661,9.507127
-1.218338,9.056946,0.5463104,9.154839
-1.1800232,9.076111,0.4313507,9.162659
-1.3524475,9.018631,0.3738861,9.127136
---,---,---,---
-1.3332825,9.1527405,0.71873474,9.277224
-1.1800232,8.999466,-0.12423706,9.07735
-1.0267487,9.037796,-0.22003174,9.098593
-1.1608582,8.980316,-0.35414124,9.061958
-0.950119,9.037796,-0.14338684,9.088732
-0.70106506,8.999466,0.20146179,9.028979
-1.2566528,9.497589,2.7686615,9.972405
-1.0650635,8.041565,4.109741,9.093465
-1.2758026,7.1602783,3.8032074,8.207415
-1.1608582,7.1219635,4.2630157,8.3811245
-3.4598541,11.2026825,5.0293427,12.757937
-0.12631226,11.624161,-2.6148071,11.915297
0.7358093,7.8308105,-0.43077087,7.8770914
0.58255005,8.463043,-0.08592224,8.483504
1.368042,10.781189,-1.0055237,10.914058
-2.6552124,10.244766,-3.706833,11.213653
0.18022156,8.328934,0.8336792,8.372493
-1.927185,4.458954,1.1018982,4.9810133
-0.83517456,9.976547,2.2322388,10.257285
-3.4598541,12.313858,-3.2853546,13.205879
-1.467392,9.095261,1.2168427,9.292885
0.29516602,6.968689,0.086502075,6.975474
-1.1033783,8.558838,0.94862366,8.681649
-1.2758026,10.953613,-3.208725,11.485
1.1381378,9.861603,2.117279,10.150342
-1.8122406,6.0107727,0.6612549,6.312754
-0.930954,6.6046906,4.473755,8.031382
-0.049682617,5.3402405,10.048813,11.379774
-1.0267487,10.781189,2.902771,11.21224
-0.52864075,7.447647,-0.29666138,7.472276
0.04611206,8.8845215,-0.48825073,8.8980465
-1.2566528,9.056946,-0.7947693,9.178186
-0.56695557,9.555069,-0.27749634,9.575896
-0.6819,8.980316,-0.5648804,9.023866
-1.1033783,9.17189,-0.5648804,9.255275
-1.0650635,9.095261,-0.66067505,9.172636
---,---,---,---
-1.486557,9.056946,0.45051575,9.189183
-1.3332825,8.999466,-0.43077087,9.107886
-1.3715973,9.056946,-0.54571533,9.176456
-1.2374878,9.037796,-0.37329102,9.129758
-1.0842285,9.037796,0.35472107,9.109508
-1.5248718,8.367249,1.0444183,8.56895
-0.5094757,8.692932,3.956482,9.564538
-0.75852966,6.470581,4.6078644,7.979737
-0.66275024,7.9457703,4.109741,8.9702
-3.708908,11.164352,2.921936,12.121736
-0.6052704,12.103119,-0.622345,12.134214
-0.72021484,8.846207,-0.5074005,8.889968
-0.27957153,8.903687,0.20146179,8.910353
-3.0192108,11.260147,-0.35414124,11.663274
-2.6935272,12.754501,0.5654602,13.048071
-1.486557,6.3556213,0.0098724365,6.527164
-1.467392,5.5509796,2.711197,6.349583
-3.5939636,10.263916,8.746048,13.955569
0.88908386,11.106888,-4.3773804,11.971419
-0.27957153,8.424728,-0.41160583,8.439409
-0.5477905,8.194824,-0.8139343,8.2533455
-0.35621643,11.240997,0.85284424,11.27893
-6.046219,10.244766,-2.3274384,12.121426
-1.1225433,7.96492,0.6995697,8.073998
-1.5440216,4.937912,2.385498,5.697155
-4.8967285,11.547531,6.427902,14.094019
-2.4061432,10.072342,-3.936737,11.078786
0.10359192,8.424728,-0.6798248,8.452747
0.14190674,9.689163,0.5654602,9.706687
0.6591797,8.6163025,-1.6377411,8.795304
-1.1608582,9.612534,-1.1204681,9.746991
-1.2374878,9.095261,-0.6798248,9.2042
-0.6052704,9.17189,-0.9288788,9.238655
-1.1800232,8.922836,-0.7947693,9.035547
-0.72021484,9.095261,-0.44992065,9.134818
---,---,---,---
-1.1033783,9.076111,-0.43077087,9.153075
-1.1608582,8.999466,-0.37329102,9.081703
-1.0267487,9.114426,-0.44992065,9.183104
-1.1800232,9.191055,0.0098724365,9.266501
-1.0459137,8.386414,0.48883057,8.4655075
-0.52864075,7.8882904,3.5924683,8.683917
-1.486557,7.447647,4.741974,8.953413
-1.8697205,7.0836487,3.630783,8.176583
-1.7930908,12.754501,5.3167114,13.934128
1.4829865,9.114426,3.669098,9.936513
-0.16462708,7.236908,-0.14338684,7.2402005
0.10359192,8.807892,0.41220093,8.81814
-0.930954,12.658707,-0.5074005,12.703031
0.026947021,9.114426,1.408432,9.222644
-1.1800232,4.382324,1.6383209,4.8250713
-1.1608582,8.156509,5.527466,9.921145
-5.1266327,15.532455,-5.220337,17.16949
-2.1379395,8.922836,0.23977661,9.178523
-0.0688324,7.3901825,0.14398193,7.3919053
-0.66275024,8.961151,-0.39245605,8.994192
-0.22210693,11.394257,-3.457779,11.909435
-0.10714722,8.252304,1.7532806,8.43718
-1.8697205,5.0911865,2.2130737,5.857792
-0.43284607,10.168121,4.6078644,11.171861
-2.1379395,6.0682526,-1.3695221,6.5779986
0.026947021,9.248535,-0.52656555,9.263553
-0.79685974,8.961151,0.067352295,8.996764
-1.735611,9.306,0.9294739,9.511987
-0.950119,9.440109,0.048187256,9.487925
-1.199173,9.1527405,-0.6031952,9.250649
-1.3141327,9.037796,-0.54571533,9.149126
---,---,---,---
-0.79685974,9.17189,1.0061035,9.261253
-1.1225433,9.095261,0.20146179,9.166485
-1.0459137,9.018631,0.124816895,9.079935
-0.8734894,8.692932,1.3701172,8.843488
-1.2758026,8.865372,3.7265778,9.701024
-1.3524475,6.68132,3.899002,7.853112
-0.75852966,8.731262,4.416275,9.813959
-3.6705933,11.930695,5.163452,13.508367
-2.1570892,12.524597,-1.5994263,12.809244
-0.5094757,7.984085,-1.3503723,8.113488
-0.29873657,9.459274,-0.7373047,9.492667
0.563385,11.490051,-3.3811493,11.990448
-1.7164459,8.213989,1.8490753,8.592723
-1.735611,5.206131,1.7724304,5.7669454
-3.3065948,11.375107,8.458679,14.555957
-1.0650635,10.225601,-2.5573425,10.59421
-0.18379211,7.8308105,-0.35414124,7.8409686
-0.1454773,9.133575,-0.14338684,9.1358595
-1.4482269,10.57045,0.0098724365,10.669202
-0.27957153,11.355942,2.136444,11.558545
-0.58610535,6.0107727,0.3738861,6.050843
-2.0996094,7.984085,3.1135101,8.823147
-3.498169,11.585846,-4.3007507,12.843888
-0.39453125,10.1298065,0.6612549,10.15903
-0.58610535,8.712097,2.3280182,9.036804
-3.996292,10.455505,0.7953644,11.221433
-0.72021484,8.980316,0.3738861,9.016905
-1.0650635,9.344315,0.18229675,9.406584
-0.98843384,9.076111,0.16313171,9.131232
---,---,---,---
-1.218338,9.1527405,-0.16255188,9.234902
-1.3141327,9.076111,-0.12423706,9.171596
-0.9118042,9.21022,0.029037476,9.25529
-0.5094757,9.459274,1.0252686,9.528306
-0.62442017,10.091492,3.0177307,10.551531
-1.7930908,6.68132,3.630783,7.8126693
-1.1608582,6.451416,3.5541534,7.4565654
-2.6743622,10.417191,5.0485077,11.880972
1.3871918,8.769577,0.105667114,8.879242
0.08442688,9.17189,0.23977661,9.175412
0.007797241,8.597153,-0.27749634,8.601633
-3.0766907,12.467117,-0.41160583,12.847741
1.348877,9.248535,1.0061035,9.400378
-1.7739258,5.4934998,1.4850616,5.9607687
-0.22210693,11.624161,3.3434143,12.097473
-1.9463501,1.1828918,2.117279,3.1097238
-1.3524475,8.309769,-0.7756195,8.45476
0.1227417,8.539673,-0.18171692,8.542488
-2.1379395,10.608765,0.64208984,10.841077
-5.222412,11.470886,2.2322388,11.958972
-0.83517456,6.5280457,0.7378845,6.6224895
-1.2374878,8.003235,2.8069763,8.571013
-1.0459137,7.715866,5.7573547,9.683784
-1.8505554,10.014862,0.18229675,10.186032
-0.85432434,8.271454,-0.16255188,8.317045
0.94654846,9.497589,-2.8830261,9.970556
-2.8276367,8.731262,0.14398193,9.178845
-2.3678284,9.018631,-0.6031952,9.343777
-2.214569,9.037796,-0.9288788,9.351411
-2.00383,8.769577,-0.66067505,9.019829
---,---,---,---
-1.486557,9.095261,0.81451416,9.251867
-1.3332825,9.056946,0.067352295,9.154804
-1.0650635,8.903687,0.45051575,8.978472
-1.5631866,9.535904,2.0789642,9.884286
-1.5631866,7.236908,3.3050995,8.108026
-2.2911987,6.413101,3.5350037,7.6729207
-3.747223,12.926926,4.5695496,14.213651
-1.3715973,11.77742,-0.37329102,11.862894
-1.199173,8.271454,-0.8714142,8.403234
2.2493134,9.267685,-1.8293304,9.710605
-7.2340393,11.75827,-0.58403015,13.8177185
-0.011367798,7.294388,0.067352295,7.2947073
-1.1417084,6.2981567,2.8836212,7.0203667
-4.187866,14.44043,1.5042114,15.11049
-1.5248718,10.608765,0.14398193,10.718761
-0.2029419,7.8499756,-0.25834656,7.856847
0.14190674,9.516739,-1.3695221,9.615823
-6.237808,11.145203,0.58462524,12.785444
-0.43284607,6.6430054,0.64208984,6.687986
-1.218338,6.949539,3.2859344,7.7831745
0.31433105,6.987854,8.152145,10.741805
0.4292755,11.624161,-0.6031952,11.647714
-0.56695557,8.6163025,-0.16255188,8.636465
-3.8047028,8.980316,-0.23918152,9.755975
-1.8314056,9.191055,-0.52656555,9.386523
